,aid,coin,view,danmaku,reply,favorite,share,name
0,314,26303,4190224,194677,31892,132154,4464,电磁炮真是太可爱了
1,10492,25759,-1,415584,72004,167870,59826,
2,13441,20207,4225994,315153,21494,31666,5248,CLANNAD~After Story~【1-25话全】【澄空】BD1080P
3,2053,18079,-1,59385,14632,90797,9440,
4,706,16377,1755177,7371,21910,103958,5605,【東方】Bad Apple!! ＰＶ【影絵】
5,106,12760,3147210,106712,13977,68801,9919,最终鬼畜蓝蓝路
6,8499,7856,2017536,36450,5309,60825,10709,真.三国无双 【兄貴伝】
7,1267,6758,-1,32039,14434,49116,3684,
8,7029,5983,608483,50869,4461,27522,1270,MAD.CLANNAD .さくら-あなたに出会えてよかった
9,107,5903,1579886,53853,7415,43438,3101,最终鬼畜二小姐.芙兰朵露
10,12999,4073,1503165,101458,3074,21728,1088,【合集】狼与香辛料 第一季【1-13集全】【华盟X元古】720P
11,11486,3786,2640310,176726,2936,12038,1273,【BDRIP】南家三姐妹【第一季】
12,4587,3767,-1,9207,2342,32850,4262,
13,13960,3472,343814,12797,2864,14876,266,bilibili入站歌-钢琴完整版
14,3372,3019,273857,5640,848,8290,393,【真·烂苹果】全苹果再现Bad Apple!! PV
15,23,2570,-1,40371,9711,29289,4562,
16,17012,2348,2180782,81417,6010,5070,833,【合辑】公主恋人1 -12话【HKG】
17,7,2189,1158359,22770,23613,9991,538,2012地球便当之日宣传片
18,816,2103,529459,15869,3092,12104,471,金坷垃 美日非K歌金曲CD
19,5693,2037,326927,31763,2019,16310,2804,"初音ミクが円周率10,000桁覚えたようです。"
20,17500,1989,1791185,86223,1653,9863,519,
21,7178,1861,410422,8641,861,13262,743,【RSP】樱花相见你【PV】
22,4845,1823,-1,16103,1719,29595,7706,
23,2332,1715,1059693,69108,2382,9053,793,
24,853,1675,362178,11379,2095,12196,733,钉宫系统音洗脑
25,4143,1541,502040,25770,523,6359,787,超级玛丽完全变态BUG玩法
26,9911,1520,1247694,96329,1643,5972,418,【合集】麻辣教师GTO
27,7136,1499,609566,35806,1939,17912,561,
28,2725,1493,90021,74,9,146,7,爱丽丝梦游仙境 宣传视频
29,9297,1457,328943,28979,2275,2961,448,上老师！我想炉心融解[翻唱]Ryu
30,17615,1435,-1,43722,1364,14620,899,
31,1612,1418,296356,8152,2196,4977,204,【小缘翻唱;完整版】恋愛サーキュレーション
32,12275,1262,1230415,49928,1775,3223,901,
33,10585,1132,295851,90464,682,7905,71,用windows系统音做的BGM
34,100,1065,45922,1830,1388,1149,33,【基片60分】寨主的灭亡
35,16781,1042,-1,43942,1113,2503,350,
36,3741,997,227625,7183,2036,9884,235,【东方】超萌的审判
37,9,994,1237494,5025,4858,10015,833,[思密达]无敌金馆长.
38,1961,987,330972,4109,1407,8813,237,【音MAD】杠杠杠杠杠杠杠杠杠【咲-Saki-×ココロオドル】
39,3271,969,137077,41,17,125,1,巡音ルカ·Queen Nereid
40,10388,948,-1,12731,4663,16668,3421,
41,9654,947,44569,2720,580,2810,74,【ef2-OP全改造】CLANNAD至神手绘[修复完毕]
42,10429,860,735273,11128,1210,12798,1639,【原版】葛平 吴克 小光头的由来 老物【起源】
43,1617,850,73332,1420,208,2635,84,【神技】人力摄影纸苹果【Bad Apple!!】
44,15647,847,721651,42931,1886,4369,401,
45,11127,755,794534,54334,829,7258,120,全金属狂潮第二季(720P)
46,1699,720,146852,2300,129,1255,38,【小柊】熊猫猫体操舞专辑(暂5P)[花丸幼稚园]
47,495,706,272462,22965,1764,10523,91,【U.N.】U.N.OWEN就是她？495首合集（总31小时）
48,271,704,1089320,529084,3638,6981,150,弹幕测试专用
49,11849,698,775801,124828,1048,8095,56,【合集】龙与虎（1-25全）
