,aid,reply,view,danmaku,favorite,coin,share,name
0,10492,72004,-1,415584,167870,25759,59826,
1,314,31892,4190224,194677,132154,26303,4464,电磁炮真是太可爱了
2,7,23613,1158359,22770,9991,2189,538,2012地球便当之日宣传片
3,706,21910,1755177,7371,103958,16377,5605,【東方】Bad Apple!! ＰＶ【影絵】
4,13441,21494,4225994,315153,31666,20207,5248,CLANNAD~After Story~【1-25话全】【澄空】BD1080P
5,2053,14632,-1,59385,90797,18079,9440,
6,1267,14434,-1,32039,49116,6758,3684,
7,106,13977,3147210,106712,68801,12760,9919,最终鬼畜蓝蓝路
8,23,9711,-1,40371,29289,2570,4562,
9,107,7415,1579886,53853,43438,5903,3101,最终鬼畜二小姐.芙兰朵露
10,17012,6010,2180782,81417,5070,2348,833,【合辑】公主恋人1 -12话【HKG】
11,8499,5309,2017536,36450,60825,7856,10709,真.三国无双 【兄貴伝】
12,2,4888,-1,1866,1604,480,1292,字幕君交流场所
13,9,4858,1237494,5025,10015,994,833,[思密达]无敌金馆长.
14,10388,4663,-1,12731,16668,948,3421,
15,7029,4461,608483,50869,27522,5983,1270,MAD.CLANNAD .さくら-あなたに出会えてよかった
16,349,3965,165327,805,3229,519,71,[人生的导师松冈修造]東方修夢造
17,271,3638,1089320,529084,6981,704,150,弹幕测试专用
18,3107,3626,-1,5220,11471,476,131,
19,8219,3274,426876,0,1156,74,5,
20,12450,3112,316748,3819,4946,377,149,搬运__【Melendiz — Fuck You All】
21,816,3092,529459,15869,12104,2103,471,金坷垃 美日非K歌金曲CD
22,12999,3074,1503165,101458,21728,4073,1088,【合集】狼与香辛料 第一季【1-13集全】【华盟X元古】720P
23,11486,2936,2640310,176726,12038,3786,1273,【BDRIP】南家三姐妹【第一季】
24,11425,2866,-1,11680,7510,287,1244,
25,13960,2864,343814,12797,14876,3472,266,bilibili入站歌-钢琴完整版
26,12,2501,495352,1392,3743,357,310,音乐与弹幕同步 3.⑤
27,11,2499,168711,2087,1336,165,33,初恋限定 真人pv
28,2332,2382,1059693,69108,9053,1715,793,
29,666,2358,169440,5319,2714,189,122,【音ゲーMAD】Dnars【ドナルド×Evans】
30,4587,2342,-1,9207,32850,3767,4262,
