,aid,view,danmaku,reply,favorite,coin,share
0,2,-1,1866,4888,1604,480,1292
1,16,108035,1492,1144,874,81,36
2,12,495352,1392,2501,3743,357,310
3,26,86121,2166,574,1800,252,124
4,7,1158359,22770,23613,9991,2189,538
5,20,157311,3833,1788,3347,361,104
6,9,1237494,5025,4858,10015,994,833
7,23,-1,40371,9711,29289,2570,4562
8,25,62049,931,448,726,56,32
9,24,196740,5105,855,2897,296,124
10,11,168711,2087,2499,1336,165,33
11,28,54482,1474,627,396,49,17
12,33,35313,391,328,204,10,13
13,32,7553,167,350,196,10,13
14,36,17416,262,247,148,19,5
15,31,60681,1375,457,306,14,24
16,44,17465,322,244,163,19,7
17,39,179217,7609,1309,2225,139,261
18,45,27536,889,301,367,72,11
19,46,19025,385,176,147,12,3
20,41,14610,282,256,354,30,11
21,40,47829,520,426,318,16,18
22,47,93457,1325,808,1328,327,65
23,50,51331,1238,600,711,100,50
24,52,35341,221,247,321,128,18
25,49,38270,143,180,132,5,7
26,48,27306,277,207,209,32,10
27,51,90428,1277,273,295,10,16
28,54,3243,155,196,205,25,6
29,55,56175,551,751,329,59,13
30,57,61560,1040,403,1791,151,69
31,60,10756,82,126,147,15,7
32,56,16586,220,196,390,25,12
33,62,5209,74,101,60,66,4
34,63,10437,119,89,58,0,4
35,64,56424,679,278,1262,101,15
36,65,24346,359,127,237,50,17
37,72,3268,150,137,62,9,4
38,68,13065,192,95,206,13,5
39,78,9389,84,106,55,2,3
40,73,11035,184,103,174,11,11
41,83,115437,2625,356,991,136,67
42,79,12880,56,85,62,5,6
43,88,26710,555,189,270,44,23
44,86,6061,676,172,243,20,13
45,84,7597,144,99,154,9,8
46,94,5608,63,66,72,2,3
47,93,8709,454,95,139,13,8
48,96,63466,171,165,155,6,7
49,91,13894,131,142,102,2,5
50,97,20751,390,107,239,25,10
51,105,15215,445,104,179,36,8
52,102,14116,319,105,75,16,12
53,101,56901,700,280,777,83,19
54,106,3147210,106712,13977,68801,12760,9919
55,95,10420,73,65,61,0,4
56,98,16526,423,266,203,30,8
57,110,42773,907,650,879,124,29
58,116,6921,65,48,43,3,2
59,108,26724,696,117,106,3,4
60,107,1579886,53853,7415,43438,5903,3101
61,90,13739,90,69,65,3,4
62,100,45922,1830,1388,1149,1065,33
63,104,24643,188,113,180,8,25
64,121,6012,75,56,31,21,4
65,119,15147,231,185,107,4,9
66,117,1709,443,60,35,3,4
67,122,9527,1703,56,49,3,1
68,128,4979,25,45,57,3,3
69,127,7937,62,79,101,10,3
70,130,6343,452,75,35,7,3
71,137,6623,91,41,15,0,1
72,136,720,195,39,30,2,8
73,142,904,41,39,32,2,2
74,143,13895,408,65,476,113,31
75,132,11576,339,181,384,44,9
76,144,3605,45,40,48,3,6
77,139,12184,735,118,170,12,9
78,138,10180,272,133,192,45,7
79,140,4300,61,36,22,1,2
80,150,17323,403,149,285,26,4
81,148,3578,42,42,38,4,2
82,141,5846,211,44,36,4,4
83,152,8277,418,53,44,4,3
84,149,3698,44,43,40,1,3
85,164,5493,62,33,23,1,2
86,153,1427,686,50,61,7,4
87,154,9866,212,60,67,14,4
88,157,3949,4,50,29,6,2
89,162,4105,69,38,26,0,3
90,158,3514,24,35,31,1,2
91,160,6703,87,64,84,8,3
92,151,7179,163,49,46,3,5
93,166,5913,290,58,70,1,7
94,167,1171,23,38,28,4,2
95,177,10075,232,65,56,2,4
96,185,4028,6,26,29,0,2
97,189,5035,155,41,71,4,3
98,192,5691,29,43,39,8,2
99,196,1646,1,28,20,0,2
100,195,7350,200,61,83,7,6
101,200,13046,201,116,69,6,3
102,205,28147,1768,95,388,52,47
103,203,5293,16,32,29,4,4
104,193,6568,8,43,48,7,3
105,201,6087,51,37,26,1,2
106,208,6062,38,27,22,7,4
107,210,687,83,34,46,2,4
108,222,1849,356,98,127,14,9
109,229,11892,90,28,28,1,2
110,226,8496,285,68,152,5,4
111,221,14063,316,151,375,19,10
112,217,109411,486,147,320,16,7
113,219,6504,14,31,28,57,5
114,218,3053,4,31,27,2,2
115,220,4110,34,34,44,2,2
116,228,1923,13,26,28,0,4
117,234,3763,37,39,21,1,2
118,240,4409,87,51,92,11,3
119,239,6316,48,118,137,66,12
120,238,726,258,39,40,3,2
121,235,3779,23,24,37,1,4
122,242,26711,1132,289,770,150,14
123,243,5485,331,80,90,2,2
124,246,5596,84,33,43,1,2
125,253,1311,51,27,19,2,2
126,249,4458,34,42,35,16,2
127,248,25856,509,201,698,95,37
128,247,1621,125,52,69,10,7
129,252,2282,22,24,30,2,2
130,260,20780,1746,48,56,1,4
131,250,-1,1197,759,855,88,140
132,254,4214,137,29,77,5,5
133,258,17360,537,104,365,43,14
134,256,5796,160,27,22,1,5
135,261,3635,69,42,25,0,3
136,266,4075,139,35,51,7,3
137,264,673,435,17,23,3,3
138,273,13193,1396,77,449,18,7
139,271,1089320,529084,3638,6981,704,150
140,259,2714,16,21,16,0,2
141,275,2483,154,23,21,4,0
142,265,27847,103,88,317,10,4
143,274,12801,643,213,936,93,86
144,270,149821,1899,870,3511,224,57
145,276,4848,163,62,58,14,10
146,277,4847,83,27,46,6,0
147,286,3177,160,54,67,19,2
148,285,2819,108,26,26,4,0
149,292,35595,1196,53,615,10,15
150,287,2304,47,21,37,0,0
151,288,7690,93,74,208,10,1
152,290,6068,65,29,28,2,1
153,289,4427,61,20,14,3,0
154,294,6250,313,29,77,17,4
155,304,17666,6,44,71,3,2
156,308,941,114,25,43,0,0
157,298,471,412,61,149,14,3
158,306,2516,16,30,15,2,0
159,293,6312,104,32,124,24,3
160,303,2425,19,21,11,0,0
161,301,3353,31,43,25,5,2
162,297,4677,78,19,16,51,0
163,312,15631,625,74,182,19,20
164,309,3505,45,23,26,1,4
165,302,77932,2854,315,1065,206,33
166,307,8580,115,35,205,15,4
167,314,4190224,194677,31892,132154,26303,4464
168,317,7721,16,26,14,2,0
169,316,42911,60,39,57,6,0
170,323,3351,103,39,75,13,2
171,318,8424,259,33,62,10,3
172,326,314069,3483,655,340,205,155
173,329,4329,257,22,14,3,3
174,324,3162,32,24,17,10,1
175,343,2292,38,15,14,1,0
176,331,5627,113,74,94,13,0
177,321,840,68,45,36,1,1
178,320,2970,37,24,22,0,2
179,322,16428,751,142,328,21,9
180,332,1957,23,20,21,2,0
181,325,7547,159,39,14,1,0
182,327,1252,10,16,6,0,1
183,333,12068,46,47,50,29,1
184,342,2090,87,20,49,3,1
185,344,4457,141,34,74,4,0
186,336,4496,159,59,110,5,2
187,340,2065,51,26,9,1,1
188,334,16473,325,51,102,52,1
189,335,3816,49,32,22,1,4
190,345,10878,133,36,28,61,4
191,341,86845,1143,212,852,168,54
192,347,1994,17,13,8,1,0
193,349,165327,805,3965,3229,519,71
194,350,73184,2367,328,2289,270,26
195,351,51048,1532,430,2260,329,37
196,352,32223,405,150,1247,60,10
197,361,2703,104,27,19,1,0
198,355,2171,8,14,22,0,1
199,369,2084,17,33,28,0,1
200,354,8686,369,49,182,11,6
201,367,1961,25,44,17,3,4
202,370,3563,51,30,21,2,1
203,373,1404,10,12,31,2,1
204,363,4119,270,27,66,3,0
205,356,37496,1027,237,1033,84,15
206,364,2301,106,26,13,0,1
207,348,8769,199,78,118,71,0
208,366,2355,63,37,8,0,0
209,375,5710,82,14,46,2,0
210,360,11628,38,73,36,1,0
211,371,9410,251,16,90,14,2
212,378,1752,20,14,10,0,1
213,377,2917,138,18,22,3,0
214,376,21711,2592,81,158,11,3
215,379,14191,1045,49,49,1,2
216,380,46440,1672,118,432,29,6
217,497,8964,1100,99,118,4,0
218,496,2966,45,26,23,2,1
219,495,272462,22965,1764,10523,706,91
220,508,-1,4513,880,3409,128,224
221,499,2905,102,24,11,1,1
222,506,2886,61,23,32,3,1
223,502,3179,15,42,31,1,0
224,498,40496,360,82,454,30,2
225,512,6363,84,61,71,3,4
