,aid,coin,view,danmaku,reply,favorite,share,
1,7,2189,1158359,22770,23613,9991,538,
2,9,994,1237494,5025,4858,10015,833,
3,12,357,495352,1392,2501,3743,310,
4,20,361,157311,3833,1788,3347,104,
6,24,296,196740,5105,855,2897,124,
7,26,252,86121,2166,574,1800,124,
8,47,327,93457,1325,808,1328,65,
9,100,1065,45922,1830,1388,1149,33,
10,106,12760,3147210,106712,13977,68801,9919,
11,107,5903,1579886,53853,7415,43438,3101,
12,271,704,1089320,529084,3638,6981,150,
13,314,26303,4190224,194677,31892,132154,4464,
14,349,519,165327,805,3965,3229,71,
15,350,270,73184,2367,328,2289,26,
16,351,329,51048,1532,430,2260,37,
17,495,706,272462,22965,1764,10523,91,
18,637,475,196212,2216,1649,6405,108,
19,662,247,72198,1583,506,3230,136,
20,706,16377,1755177,7371,21910,103958,5605,
21,799,356,73273,2404,235,3571,60,
22,816,2103,529459,15869,3092,12104,471,
23,835,396,270576,40267,215,2599,10,
24,836,359,15778,202,45,13,0,
25,842,334,92859,977,300,2095,182,
26,853,1675,362178,11379,2095,12196,733,
27,897,361,68062,3058,583,2434,28,
28,1076,247,70147,1253,208,1394,95,
29,1189,354,582455,11280,740,1847,183,
30,1208,267,103786,3269,114,1614,108,
32,1299,236,115688,2788,1249,432,24,
33,1311,389,330916,7459,428,1972,105,
34,1540,501,11707,83,9,146,9,
35,1552,334,13905,786,60,207,10,
36,1559,280,13446,74,15,5,0,
37,1579,250,413044,6823,700,4207,245,
38,1587,685,11995,136,13,20,1,
39,1612,1418,296356,8152,2196,4977,204,
40,1617,850,73332,1420,208,2635,84,
41,1689,370,6983,35,4,27,3,
42,1699,720,146852,2300,129,1255,38,
43,1799,492,99749,1867,812,2330,109,
44,1879,275,117569,6320,1845,3965,99,
45,1961,987,330972,4109,1407,8813,237,
47,2313,478,170131,14135,1921,5424,85,
48,2332,1715,1059693,69108,2382,9053,793,
49,2479,234,127560,4411,1162,3504,46,
50,2543,463,41554,53,2,20,1,
51,2546,249,21244,559,83,394,8,
52,2557,334,178063,4874,2177,6434,199,
53,2572,634,9768,60,6,80,2,
54,2601,382,39104,919,63,174,19,
55,2722,337,20133,131,13,87,4,
56,2725,1493,90021,74,9,146,7,
57,2740,311,18904,235,36,82,14,
58,2742,378,41677,16,2,34,1,
59,2743,576,21592,120,10,58,0,
60,2747,299,18192,92,22,52,14,
61,2760,413,19652,88,7,85,3,
62,2761,464,35641,76,8,46,3,
63,2762,347,10389,10,18,37,0,
64,2967,292,15923,457,81,244,0,
66,3068,288,8642,17,7,54,1,
68,3085,657,65630,2679,571,3414,40,
69,3101,235,17316,169,43,83,2,
71,3271,969,137077,41,17,125,1,
72,3372,3019,273857,5640,848,8290,393,
74,3741,997,227625,7183,2036,9884,235,
75,3907,322,54610,1078,386,2204,45,
77,4143,1541,502040,25770,523,6359,787,
78,4437,251,363279,10022,293,2109,188,
79,4450,444,167591,3174,739,4173,145,
82,4634,337,39297,683,315,1496,27,
84,4903,527,821974,18608,942,1626,359,
85,5048,312,60580,12507,1410,1170,161,
88,5693,2037,326927,31763,2019,16310,2804,
89,5728,422,205318,5791,752,5678,40,
90,5813,237,61196,946,482,1924,21,
91,5908,240,231786,14918,420,2845,134,
92,6487,423,134856,2958,740,4210,321,
93,6528,262,970162,21569,548,13920,335,
94,7029,5983,608483,50869,4461,27522,1270,
95,7136,1499,609566,35806,1939,17912,561,
96,7178,1861,410422,8641,861,13262,743,
98,8499,7856,2017536,36450,5309,60825,10709,
99,8805,617,175498,4772,618,4888,94,
100,9118,253,87054,2301,678,1649,32,
101,9297,1457,328943,28979,2275,2961,448,
102,9654,947,44569,2720,580,2810,74,
103,9911,1520,1247694,96329,1643,5972,418,
104,10386,257,103766,4747,397,1860,40,
106,10429,860,735273,11128,1210,12798,1639,
108,10585,1132,295851,90464,682,7905,71,gate 中文影像版
109,10702,242,88632,2853,301,1889,17,
110,10717,245,2464,1312,197,2210,22,
111,11127,755,794534,54334,829,7258,120,
112,11242,363,69043,870,327,2771,149,
114,11481,371,35108,1128,334,2043,107,
115,11486,3786,2640310,176726,2936,12038,1273,
116,11849,698,775801,124828,1048,8095,56,
117,11928,663,92303,2316,161,2074,562,
118,12104,487,140929,2431,459,3051,205,
119,12275,1262,1230415,49928,1775,3223,901,
120,12450,377,316748,3819,3112,4946,149,
121,12591,350,206965,4251,269,3687,86,
122,12826,313,385670,50808,1141,1854,13,
123,12999,4073,1503165,101458,3074,21728,1088,
124,13196,566,685276,20483,342,531,114,
125,13256,557,303651,55376,956,2954,780,
126,13301,266,161260,8747,486,2790,22,
127,13373,382,18737,2215,747,2111,15,
128,13441,20207,4225994,315153,21494,31666,5248,
129,13856,233,119862,1811,383,3516,45,
130,13960,3472,343814,12797,2864,14876,266,
131,15239,318,188734,18657,292,3853,15,
132,15468,379,570255,16766,251,326,66,
133,15647,847,721651,42931,1886,4369,401,
134,15666,409,346721,21689,592,2709,97,
135,15795,279,38034,476,244,1539,62,
136,15836,243,49477,1216,276,1776,393,
137,16590,253,82207,1225,262,2874,81,
139,16805,357,214158,12966,193,263,49,
140,16942,282,80752,130,384,3851,196,
141,16979,546,167997,3760,909,5372,300,
142,17008,392,72408,87114,479,7877,84,
143,17012,2348,2180782,81417,6010,5070,833,
144,17220,274,77221,1385,327,2054,71,
145,17500,1989,1791185,86223,1653,9863,519,
147,17718,301,334896,11249,746,3330,276,
148,17800,481,422677,31146,1143,4572,135,
149,17904,381,23457,4008,497,4547,177,
